feature_name,user,inferred,reason
258,,cont,All values are not integers and convert to float
259,,cont,All values are not integers and convert to float
26,,cont,All values are not integers and convert to float
260,,cont,All values are not integers and convert to float
261,,cont,All values are not integers and convert to float
262,,cont,All values are not integers and convert to float
263,,cont,All values are not integers and convert to float
264,,cont,All values are not integers and convert to float
265,,cont,All values are not integers and convert to float
266,,cont,All values are not integers and convert to float
267,,cont,All values are not integers and convert to float
268,,cont,All values are not integers and convert to float
269,,cont,All values are not integers and convert to float
27,,cont,All values are not integers and convert to float
270,,cont,All values are not integers and convert to float
271,,cont,All values are not integers and convert to float
272,,cont,All values are not integers and convert to float
273,,cont,All values are not integers and convert to float
274,,cont,All values are not integers and convert to float
275,,cont,All values are not integers and convert to float
276,,cont,All values are not integers and convert to float
277,,cont,All values are not integers and convert to float
278,,cont,All values are not integers and convert to float
279,,cont,All values are not integers and convert to float
28,,cont,All values are not integers and convert to float
280,,cont,All values are not integers and convert to float
281,,cont,All values are not integers and convert to float
282,,cont,All values are not integers and convert to float
283,,cont,All values are not integers and convert to float
284,,cont,All values are not integers and convert to float
285,,cont,All values are not integers and convert to float
286,,cont,All values are not integers and convert to float
287,,cont,All values are not integers and convert to float
288,,cont,All values are not integers and convert to float
289,,cont,All values are not integers and convert to float
29,,cont,All values are not integers and convert to float
290,,cont,All values are not integers and convert to float
291,,cont,All values are not integers and convert to float
292,,cont,All values are not integers and convert to float
293,,cont,All values are not integers and convert to float
294,,cont,All values are not integers and convert to float
295,,cont,All values are not integers and convert to float
296,,cont,All values are not integers and convert to float
297,,cont,All values are not integers and convert to float
298,,cont,All values are not integers and convert to float
299,,cont,All values are not integers and convert to float
3,,cont,All values are not integers and convert to float
30,,cont,All values are not integers and convert to float
300,,cont,All values are not integers and convert to float
301,,cont,All values are not integers and convert to float
302,,cont,All values are not integers and convert to float
303,,cont,All values are not integers and convert to float
304,,cont,All values are not integers and convert to float
305,,cont,All values are not integers and convert to float
306,,cont,All values are not integers and convert to float
307,,cont,All values are not integers and convert to float
308,,cont,All values are not integers and convert to float
309,,cont,All values are not integers and convert to float
31,,cont,All values are not integers and convert to float
310,,cont,All values are not integers and convert to float
311,,cont,All values are not integers and convert to float
312,,cont,All values are not integers and convert to float
313,,cont,All values are not integers and convert to float
314,,cont,All values are not integers and convert to float
315,,cont,All values are not integers and convert to float
316,,cont,All values are not integers and convert to float
317,,cont,All values are not integers and convert to float
318,,cont,All values are not integers and convert to float
319,,cont,All values are not integers and convert to float
32,,cont,All values are not integers and convert to float
320,,cont,All values are not integers and convert to float
321,,cont,All values are not integers and convert to float
322,,cont,All values are not integers and convert to float
323,,cont,All values are not integers and convert to float
324,,cont,All values are not integers and convert to float
325,,cont,All values are not integers and convert to float
326,,cont,All values are not integers and convert to float
327,,cont,All values are not integers and convert to float
328,,cont,All values are not integers and convert to float
329,,cont,All values are not integers and convert to float
33,,cont,All values are not integers and convert to float
330,,cont,All values are not integers and convert to float
331,,cont,All values are not integers and convert to float
332,,cont,All values are not integers and convert to float
333,,cont,All values are not integers and convert to float
334,,cont,All values are not integers and convert to float
335,,cont,All values are not integers and convert to float
336,,cont,All values are not integers and convert to float
337,,cont,All values are not integers and convert to float
338,,cont,All values are not integers and convert to float
339,,cont,All values are not integers and convert to float
34,,cont,All values are not integers and convert to float
340,,cont,All values are not integers and convert to float
341,,cont,All values are not integers and convert to float
342,,cont,All values are not integers and convert to float
343,,cont,All values are not integers and convert to float
344,,cont,All values are not integers and convert to float
345,,cont,All values are not integers and convert to float
346,,cont,All values are not integers and convert to float
347,,cont,All values are not integers and convert to float
348,,cont,All values are not integers and convert to float
349,,cont,All values are not integers and convert to float
35,,cont,All values are not integers and convert to float
350,,cont,All values are not integers and convert to float
351,,cont,All values are not integers and convert to float
352,,cont,All values are not integers and convert to float
353,,cont,All values are not integers and convert to float
354,,cont,All values are not integers and convert to float
355,,cont,All values are not integers and convert to float
356,,cont,All values are not integers and convert to float
