,t,t_p,U,U_p,W,W_p,cohen_d,AUROC,corr,corr_p,mut_info
1__label.4,9.187478515710367,4.777145931574448e-20,15395213.5,8.129063621454975e-22,-12.574208715274375,2.927164287020019e-36,-0.12630129811680674,0.560592019931237,-0.050341760982211284,7.832607432340598e-09,0.1319893139149091
1__label.5,-59.089473100147664,0.0,8214823.5,0.0,66.68330156718287,0.0,0.9678956157015935,0.7701227763832805,0.4032276328242621,0.0,0.12613811507486705
1__label.6,-25.13007960727604,3.4764461175568935e-73,561998.0,4.307836943872073e-73,31.15605758850639,4.198952081725024e-213,1.1589498202751811,0.8295041404551103,0.1582238185354467,2.269098642881069e-74,0.015051037574075332
2__label.0,22.044811205367356,9.759927520462846e-84,5446095.0,1.0188098845659473e-57,-21.66732123769973,4.1733935036398073e-104,-0.6625423711115858,0.6883451150025651,-0.14051573277619878,6.845005830392277e-59,0.015313054827052586
2__label.1,-111.68680072599729,0.0,3086194.5,0.0,162.9964771347498,0.0,1.9325076267465824,0.9168691674540836,0.6676120320896316,0.0,0.29687790668693603
2__label.2,-5.446168355862439,6.329110085291413e-08,3945302.0,1.923440962883509e-05,7.5137238165664595,5.746875920652689e-14,0.10927919252514105,0.5478609558255576,0.02457607957749536,0.004855735893707196,0.03724843811115286
2__label.3,59.020508610231204,0.0,9959489.5,4.560744653537558e-288,-63.203387687565,0.0,-1.239138283864305,0.8506901962325134,-0.30726954190219935,3.950426964732462e-285,0.062113121784028946
2__label.4,65.04111021453885,0.0,22326538.0,0.0,-70.9874722131425,0.0,-1.1503339439458262,0.8129850901704948,-0.41722109061282886,0.0,0.11845691931644597
2__label.5,18.77871571289438,1.6018588281914263e-77,20614508.0,7.415552779409276e-44,-15.7673714345191,5.217651915818347e-56,-0.294957659045226,0.5768603385410108,-0.1330860293114432,5.822947261897366e-53,0.10047127048228943
2__label.6,-23.104288555245443,4.710718786133519e-66,603968.0,1.0791319311354469e-67,25.25824505688547,9.193724104984836e-141,1.16308588866072,0.8167715128922025,0.1587742785756174,6.982708941671191e-75,0.014371654280800117
3__label.0,-11.412289429781971,9.745834371266533e-28,2959816.0,9.661452306325585e-27,10.357583465525595,3.8660596191271688e-25,0.5123636384159336,0.6259016993081405,0.10909877664739796,4.600892416515524e-36,0.011459781721860685
3__label.1,2.7678359350816533,0.005653623070920291,19962737.0,3.7092551663176465e-12,-7.326915688520052,2.355098808082231e-13,-0.048062208581396315,0.5377233828604023,-0.022296080887049742,0.010615961273223298,0.05018105692049124
3__label.2,8.792318976698564,8.80268442224375e-18,5283605.0,4.4555441996713774e-21,-10.96858923148638,5.4110052317293355e-28,-0.30806587019491827,0.6055110900243643,-0.06913683209726444,2.165702611783454e-15,0.008474632105138769
3__label.3,26.441984604178646,2.8712303143711923e-120,8805012.0,7.502908412615322e-150,-29.837584279700632,1.2721330230360866e-195,-0.8658084484412933,0.7520804541346858,-0.22007780581202918,8.919464767433985e-144,0.036654407408340806
3__label.4,-56.66817423467603,0.0,6047882.5,0.0,65.76193853758801,0.0,0.9297146049422319,0.7797760539675673,0.34786674149410884,0.0,0.1046674110210255
3__label.5,14.305251968527408,9.389944246895623e-46,20291792.0,1.5434412800991361e-34,-12.071115993214091,1.500850052124811e-33,-0.28220159619439456,0.5678297053086969,-0.1274259766923974,1.1494513852318548e-48,0.013238849649116258
3__label.6,16.42654295336981,2.99239623614897e-42,2631250.5,3.2168234266160217e-60,-18.101003087856835,3.1291692680044704e-73,-1.1083196509495927,0.7982542921423579,-0.15147374483948062,3.029925401898245e-68,0.015221894151854487
4__label.0,14.322360364495283,6.186644103577486e-41,5433156.0,9.434519808782045e-57,-14.801386357058439,1.43494244361792e-49,-0.608495323005479,0.6867097235077384,-0.12925297700452856,4.953595154527088e-50,0.018865851649272347
4__label.1,-11.566143501577335,8.627507266199919e-31,14033817.0,8.90233091121125e-112,25.144553850174983,1.620971457187288e-139,0.16824405842893797,0.6219801146664496,0.07783108933228756,4.193207668479398e-19,0.20181917915887615
4__label.2,-77.54883320272093,0.0,675520.0,0.0,105.51471222852628,0.0,1.8756589098264915,0.9225841349735154,0.38875855198158604,0.0,0.09539795772620518
4__label.3,-86.46046137759762,0.0,775616.5,0.0,131.44333288512215,0.0,2.0261434672634158,0.9337506854556978,0.4668881798979651,0.0,0.12325071007652366
4__label.4,85.92082852719722,0.0,23120558.0,0.0,-97.19352379735507,0.0,-1.1801596828006797,0.8418980555974309,-0.42609513740313487,0.0,0.1655306127659142
4__label.5,18.775259605309177,4.864990565110102e-77,21378854.5,1.6136951339000518e-70,-18.679019081434113,7.335475291075699e-78,-0.33970653250941935,0.5982492157702242,-0.15283568836659456,1.8531101280256184e-69,0.030236760337706725
4__label.6,-26.520202001267066,5.605339213149355e-78,564573.0,9.366600001199899e-73,36.454682715365514,5.799106088428833e-291,1.170362095078722,0.8287229511300094,0.15974229299271514,8.69828679872048e-76,0.021463031905686547
5__label.0,-0.7946911972284814,0.42703195354677226,3805175.0,0.10520462222186992,2.141034407725632,0.03227126344423763,0.022176446363188575,0.5190547313295332,0.004750384280681804,0.5862204281774684,0.018184018528347723
5__label.1,-118.78361350937921,0.0,2395094.0,0.0,186.0782247421009,0.0,1.778504170313025,0.9354848962870846,0.6364995411906822,0.0,0.38792977356947467
5__label.2,66.63324529533065,0.0,8220492.0,0.0,-71.92253353224265,0.0,-2.027686814111354,0.9420838748272377,-0.4150120656581076,0.0,0.13130512126659766
5__label.3,-1.7765455381930084,0.07583030994188626,5514220.5,0.002702428259635328,4.597598237419921,4.2738912763563484e-06,0.034279053794607266,0.5290026341998404,0.008931954991553371,0.3060810385453453,0.04439478738341296
5__label.4,42.22507056086857,0.0,18913208.0,2.597382448106213e-196,-41.83261569398653,0.0,-0.5776679102495276,0.6886941500421303,-0.22464917058923708,6.974073009835423e-150,0.1221885699371339
5__label.5,53.41577322612308,0.0,26843099.5,0.0,-59.569558109715096,0.0,-0.8417765344678865,0.7511563926269809,-0.3578451734031094,0.0,0.13765864370042147
5__label.6,-29.220195268040946,4.296029538370806e-84,290806.0,4.476581489594671e-113,32.31384460209902,4.4703526220278434e-229,2.629046281738145,0.9117768765532774,0.34163437333647256,0.0,0.06073341496347584
6__label.0,31.44087262861476,9.142170260968449e-140,6188010.0,3.789606815792301e-127,-31.038861097959888,1.6127468411652137e-211,-0.9511042609853043,0.7821175457069741,-0.1996357681993073,3.843128072591675e-118,0.030185607402074544
6__label.1,82.02750531110719,0.0,29866264.5,0.0,-80.9260126692601,0.0,-1.2100493788414202,0.8044883214332554,-0.4895868262899449,0.0,0.20163065463643282
6__label.2,-50.16212065938296,8.608666074309436e-249,834265.0,1.6411564744007492e-285,55.48871294845947,0.0,1.8109837675715528,0.9043916588164377,0.37729089454654996,0.0,0.10962242369482356
6__label.3,-52.098799013091984,0.0,2277281.5,4.1852716478973064e-219,56.95567443985785,0.0,1.0910129147938754,0.8054859090808146,0.2734562284056867,6.44494685705167e-224,0.058828628533289073
6__label.4,-77.8573748206027,0.0,4751834.0,0.0,89.91754604225561,0.0,1.2372219072520336,0.8269695824330121,0.4427346025715825,0.0,0.16515220690842303
6__label.5,15.056672640764784,1.2636034996601852e-50,20009642.0,2.4773407412073776e-27,-11.58790816970293,4.74581493662673e-31,-0.2609832797082365,0.5599342394300377,-0.11798371633448637,6.331080338701161e-42,0.046304384400616794
